plant,planner,planner_arg,seed,rep,wall_s,return_sum,return_mean,steps_survived,survived,diverged,frac_diverged,plan_return_mean,optimism_gap,pred_err_1step,vel_err,yaw_rate_err,torque_rms
2.0,2.0,match,4,0,9.038267135620117,371.48479616642,0.9287119904160499,400.0,1.0,0.0,0.0,0.8986900548636914,-0.030021935552358547,0.000444104992604245,0.08481980620184913,0.6218062872625887,23.828657206610952
2.0,1.0,1.0,4,0,9.00543737411499,369.9899481534958,0.9249748703837395,400.0,1.0,0.0,0.0,0.8930374217033387,-0.031937448680400826,0.035358006232663206,0.09608378382050432,0.6810195292986464,23.437615235515864
0.5,0.5,match,5,0,2.497056245803833,86.82391959428787,0.7965497210485126,109.0,0.0,0.0,0.0009345116438150095,0.6243226519889302,-0.1722270690595824,0.00043668458372984014,0.22514323632173036,0.6479498125749443,30.066654713558194
0.5,1.0,1.0,5,0,0.49642443656921387,15.304514050483704,0.850250780582428,18.0,0.0,0.0,0.0,0.8493394395884346,-0.0009113409939933703,0.16444993087583604,0.20786199180616272,0.6241821212073168,43.31759111123222
0.7,0.7,match,5,0,9.030181884765625,370.3624349832535,0.9259060874581337,400.0,1.0,0.0,0.0,0.8946044114232063,-0.031301676034927395,0.001739825198042799,0.07999378726002761,0.7462140530440956,21.24268720526608
0.7,1.0,1.0,5,0,9.039553880691528,369.525954246521,0.9238148856163025,400.0,1.0,0.0,0.0,0.8975861889123916,-0.026228696703910925,0.019515654008560125,0.07985658335208427,0.6545692445198074,22.919777066592907
1.0,1.0,match,5,0,9.007391691207886,371.32125782966614,0.9283031445741653,400.0,1.0,0.0,0.0,0.8953560823202134,-0.03294706225395194,0.0012009965409052804,0.0780266039352864,0.6248170638209558,20.84841003873592
1.0,1.0,1.0,5,0,8.97956395149231,369.9759152531624,0.924939788132906,400.0,1.0,0.0,0.0,0.8942532010376454,-0.03068658709526062,0.0013146063735736508,0.07884828594687861,0.608289510771865,22.36598240053913
1.4,1.4,match,5,0,8.985875368118286,371.66692954301834,0.9291673238575459,400.0,1.0,0.0,0.0,0.898674173951149,-0.030493149906396844,0.0005665254724793211,0.0816068035387434,0.5722888780757784,21.552107530681386
1.4,1.0,1.0,5,0,8.99545693397522,371.41157376766205,0.9285289344191551,400.0,1.0,0.0,0.0,0.8966815073788166,-0.031847427040338494,0.016642215065039545,0.08274314267968293,0.6232884659455158,22.598761297350045
2.0,2.0,match,5,0,9.009277582168579,370.4024074077606,0.9260060185194016,400.0,1.0,0.0,0.0,0.895306544303894,-0.03069947421550756,0.0006241051187410797,0.07969356410088949,0.5944583020813298,24.213857505961023
2.0,1.0,1.0,5,0,9.018806457519531,371.5743119120598,0.9289357797801494,400.0,1.0,0.0,0.0,0.897112592458725,-0.03182318732142442,0.03468205997216186,0.08937289148918354,0.63798213286791,22.449283835451304
0.5,0.5,match,6,0,9.079421281814575,341.2240518927574,0.8530601297318935,400.0,1.0,0.0,0.0006738651394698536,0.7509196941554547,-0.10214043557643881,0.0015358822031698296,0.15558168544084766,0.8460156607662793,27.451693979743453
0.5,1.0,1.0,6,0,0.316936731338501,7.599381685256958,0.7599381685256958,10.0,0.0,0.0,0.0,0.6943846212493049,-0.06555354727639096,0.22998251874620715,0.27723869904875753,0.8911581255495549,64.20749202757186
0.7,0.7,match,6,0,9.005463361740112,371.3955777287483,0.9284889443218708,400.0,1.0,0.0,0.0,0.8986081010103226,-0.029880843311548166,0.0009828747074487566,0.07473737050197088,0.7076383048680145,23.23092189964561
0.7,1.0,1.0,6,0,8.962934494018555,371.6796180009842,0.9291990450024605,400.0,1.0,0.0,0.0,0.9012906467914581,-0.02790839821100244,0.01783198588656117,0.07866539152164478,0.7153389767569024,22.546683494510646
1.0,1.0,match,6,0,9.114069700241089,370.7960870862007,0.9269902177155018,400.0,1.0,0.0,0.0,0.8975562617182732,-0.029433955997228645,0.0010960978045159095,0.07769595272256993,0.7162068857520353,22.453164904299474
1.0,1.0,1.0,6,0,9.0424063205719,370.67806726694107,0.9266951681673526,400.0,1.0,0.0,0.0,0.896701395958662,-0.029993772208690594,0.0009931920225683445,0.08273434331989847,0.6846093693142756,23.087717329323166
1.4,1.4,match,6,0,9.027929782867432,372.0442605018616,0.930110651254654,400.0,1.0,0.0,0.0,0.8987228590250015,-0.03138779222965249,0.000847692944617542,0.07311477043374907,0.693608251985861,22.555409062058082
1.4,1.0,1.0,6,0,9.041754961013794,370.7663066983223,0.9269157667458058,400.0,1.0,0.0,0.0,0.8964928703010082,-0.030422896444797565,0.016515781061331693,0.07622949801618234,0.6488263203739189,22.100021535120696
2.0,2.0,match,6,0,9.076818704605103,371.39052867889404,0.9284763216972352,400.0,1.0,0.0,0.0,0.8989885585010051,-0.029487763196230032,0.0005592860925490836,0.07587192798499018,0.6163969405740499,23.653615766673664
2.0,1.0,1.0,6,0,8.934248924255371,367.97208535671234,0.9199302133917808,400.0,1.0,0.0,0.0,0.8892563913762569,-0.030673822015523933,0.0373894264641449,0.09542746056395117,0.649229511085432,23.888681408678526
0.5,0.5,match,7,0,8.998173713684082,338.6511661410332,0.846627915352583,400.0,1.0,0.0,0.0006938748955872142,0.7494112637639045,-0.09721665158867843,0.0009873906652101848,0.18438393007032572,0.767849831325584,26.60632377006729
0.5,1.0,1.0,7,0,0.4737107753753662,13.81072461605072,0.8123955656500423,17.0,0.0,0.0,0.0,0.8024942427873611,-0.009901322862681194,0.1867750377568882,0.23996834763709238,1.1456390820881899,49.52571225124662
0.7,0.7,match,7,0,9.061196088790894,371.28560614585876,0.9282140153646469,400.0,1.0,0.0,0.0,0.8965594150125981,-0.03165460035204881,0.001983725114228105,0.08157022643950768,0.7433234522887505,22.479076986997207
0.7,1.0,1.0,7,0,8.958770036697388,370.99686419963837,0.9274921604990959,400.0,1.0,0.0,0.0,0.9002050146460533,-0.027287145853042594,0.021085744394271876,0.08155185004172381,0.6652160090173129,21.53399153176863
1.0,1.0,match,7,0,9.002117395401001,370.7616592645645,0.9269041481614113,400.0,1.0,0.0,0.0,0.8955172756314278,-0.03138687252998351,0.0009015393727688256,0.08412062239367515,0.7634329255158082,22.645495002930822
1.0,1.0,1.0,7,0,9.021245956420898,369.00628846883774,0.9225157211720943,400.0,1.0,0.0,0.0,0.8914228516817093,-0.031092869490385033,0.0009177310763085931,0.08066984808072447,0.6718755681626498,23.843396659022847
1.4,1.4,match,7,0,8.99637222290039,370.7981652021408,0.926995413005352,400.0,1.0,0.0,0.0,0.897413899898529,-0.029581513106823,0.0007099937358528754,0.0752203105960507,0.719781527821906,22.439086274840413
1.4,1.0,1.0,7,0,8.931504726409912,371.1139344573021,0.9277848361432552,400.0,1.0,0.0,0.0,0.8951874132454395,-0.03259742289781575,0.01677873542469303,0.0766699067153968,0.6798107871226966,23.045283995511216
2.0,2.0,match,7,0,8.995673179626465,369.95972430706024,0.9248993107676506,400.0,1.0,0.0,0.0,0.8956124067306519,-0.02928690403699874,0.0004647345425194186,0.06836455111246323,0.6106537252664566,23.88897196627619
2.0,1.0,1.0,7,0,9.00591492652893,369.20852810144424,0.9230213202536106,400.0,1.0,0.0,0.0,0.8904991154372692,-0.03252220481634138,0.036222745925841626,0.08604862827342004,0.6959792697778903,24.50066606044406
0.5,0.5,match,8,0,3.926815986633301,133.6183404326439,0.7813938036996718,171.0,0.0,0.0,0.0007831652023870607,0.6117462304146851,-0.1696475732849867,0.0010628842967936609,0.27917495603014153,0.7660023338482742,25.104165718060266
0.5,1.0,1.0,8,0,0.4843018054962158,12.650798320770264,0.7441646071041331,17.0,0.0,0.0,0.0,0.7081008441746235,-0.036063762929509635,0.24406827866914682,0.3311235545312657,0.7778071283417589,57.93125971678769
0.7,0.7,match,8,0,9.102901458740234,370.76321691274643,0.9269080422818661,400.0,1.0,0.0,0.0,0.8973793396353722,-0.029528702646493876,0.0011957547820938565,0.07580924024921842,0.7305996164330282,21.614787778128008
