plant,planner,planner_arg,seed,rep,wall_s,return_sum,return_mean,steps_survived,survived,diverged,frac_diverged,plan_return_mean,optimism_gap,pred_err_1step,vel_err,yaw_rate_err,torque_rms
1.4,1.4,match,1,0,0.8142259120941162,11.45198667049408,0.8179990478924343,14.0,0.0,0.0,0.0032210826891689347,-0.036173223302914545,-0.8541722711953488,0.004584560816965677,0.20960707044495003,0.1316887908615172,27.901147342027613
1.4,1.0,1.0,1,0,1.1855239868164062,15.177468657493591,0.6598899416301561,23.0,0.0,0.0,0.01579484072598544,-0.6608661785721779,-1.3207561202023341,0.03167173228311268,0.2915744098794201,0.98936352684446,34.19806145305537
2.0,2.0,match,1,0,1.5147907733917236,26.582253098487854,0.8574920354350921,31.0,0.0,0.0,0.0014738893505030623,0.20118309473618864,-0.6563089406989034,0.00010193363758996081,0.15752251999032113,0.5982658586074268,29.669701633801886
2.0,1.0,1.0,1,0,1.0528759956359863,11.718114852905273,0.5859057426452636,20.0,0.0,0.0,0.020305150433590536,-2.198310185419886,-2.7842159280651497,0.05307002353334898,0.34884197656065224,0.9319028939120472,33.47834765879121
0.5,0.5,match,2,0,0.7260477542877197,9.119707226753235,0.8290642933412031,11.0,0.0,0.0,0.02845289707183838,-0.6521790839731694,-1.4812433773143725,2.4220774139394053e-05,0.1664911410347982,0.45197179744189436,29.443849798748055
0.5,1.0,1.0,2,0,0.63787841796875,8.24199777841568,0.824199777841568,10.0,0.0,0.0,0.006241525549234616,-0.4176756582326359,-1.241875436074204,0.039296970495747194,0.13832841366529464,0.11464637406170368,39.36940843389154
0.6,0.6,match,2,0,0.5669727325439453,6.652644991874695,0.8315806239843369,8.0,0.0,0.0,0.02381649017999215,-0.24078067711421422,-1.072361301098551,2.772021135959741e-05,0.1422549495473504,0.09445039415732026,29.149358623901392
0.6,1.0,1.0,2,0,0.6098229885101318,7.461480796337128,0.8290534218152364,9.0,0.0,0.0,0.007497557999158744,-0.20498333126306534,-1.034036753078302,0.031957753701135516,0.1775880509780513,0.16472363471984863,32.901420932065506
0.7,0.7,match,2,0,0.5727944374084473,6.626719236373901,0.8283399045467377,8.0,0.0,0.0,0.022031647818429128,-0.26213457328932627,-1.090474477836064,3.225521153841068e-05,0.14937734603881836,0.14527532644569874,30.684468820818715
0.7,1.0,1.0,2,0,0.48821282386779785,4.923901379108429,0.8206502298514048,6.0,0.0,0.0,0.007974619860760868,-0.05903675854206085,-0.8796869883934656,0.022111599147319794,0.16344700381159782,0.054749537880222,33.4821297727529
1.0,1.0,match,2,0,0.6068191528320312,7.385545611381531,0.8206161790423923,9.0,0.0,0.0,0.019479009497445077,-0.33317573368549347,-1.1537919127278857,0.0027778285333397434,0.17395053721136516,0.24411701949106324,32.54155423466093
1.0,1.0,1.0,2,0,1.0027861595153809,12.930177092552185,0.7183431718084548,18.0,0.0,0.0,0.025039468097555286,-0.7915167506126797,-1.5098599224211344,0.011680464949784116,0.2810883584121863,0.4180480897323125,28.700996365680627
1.4,1.4,match,2,0,1.3504881858825684,17.538344979286194,0.6495683325661553,27.0,0.0,0.0,0.017704692252804168,-0.46561219940821713,-1.1151805319743724,0.0052560602840073375,0.3415244063017545,0.8829964970548948,38.46546376369643
1.4,1.0,1.0,2,0,1.0963592529296875,14.721414625644684,0.7010197440783182,21.0,0.0,0.0,0.016412880423013122,-0.6205963365733623,-1.3216160806516806,0.050335608120076356,0.3043755557210672,0.7210790766846567,32.2922212511481
2.0,2.0,match,2,0,0.7681899070739746,10.951449155807495,0.8424191658313458,13.0,0.0,0.0,0.0011062304177661038,0.21413436656196913,-0.6282847992693766,0.009542723476518708,0.16454288542557222,0.37594602529246074,30.82010376227208
2.0,1.0,1.0,2,0,0.8931326866149902,11.704786121845245,0.780319074789683,15.0,0.0,0.0,0.021968899452726225,-0.7648666671344212,-1.5451857419241042,0.04399132392635303,0.2187975992759069,0.46646343705554805,31.576441572701093
0.5,0.5,match,3,0,0.4443471431732178,4.1172425746917725,0.8234485149383545,5.0,0.0,0.0,0.02786724572069943,-0.18473391979932785,-1.0081824347376824,3.170934769514133e-05,0.13760200291872024,0.07571610584855079,27.380937324346032
0.5,1.0,1.0,3,0,0.6147036552429199,7.317695498466492,0.813077277607388,9.0,0.0,0.0,0.009925571081112139,-0.4971110252663493,-1.3101883028737373,0.04235582461114973,0.13115104205078548,0.12184662744402885,34.61614708128643
0.6,0.6,match,3,0,0.8084619045257568,11.059658169746399,0.8507429361343384,13.0,0.0,0.0,0.020989908778574318,-0.33022890115777653,-1.180971837292115,5.024434767619823e-05,0.15333649688042128,0.24738862394140318,29.584882366807335
0.6,1.0,1.0,3,0,0.603614091873169,7.462742269039154,0.8291935854487948,9.0,0.0,0.0,0.01014519036107231,-0.25801337510347366,-1.0872069605522685,0.028571741306222975,0.17054928921990925,0.35206955961055225,29.837210944873156
